Date,Close/Last,Volume,Open,High,Low
1/14/2020,$61.82 ,35957932,$62.57 ,$62.82 ,$61.69 
1/13/2020,$63.00 ,32033804,$61.92 ,$63.25 ,$61.69 
1/10/2020,$61.08 ,31646240,$61.83 ,$62.14 ,$60.94 
1/9/2020,$60.76 ,25544212,$60.96 ,$61.48 ,$60.21 
1/8/2020,$60.10 ,27724068,$59.94 ,$60.51 ,$59.54 
1/7/2020,$59.98 ,31920576,$59.55 ,$60.44 ,$59.10 
1/6/2020,$59.27 ,26291248,$58.08 ,$59.32 ,$57.82 
1/3/2020,$59.02 ,20577232,$58.78 ,$59.46 ,$58.53 
1/2/2020,$59.98 ,23767876,$59.69 ,$59.98 ,$59.18 
12/31/2019,$58.83 ,23121132,$57.73 ,$58.92 ,$57.53 
12/30/2019,$58.08 ,25824712,$59.00 ,$59.05 ,$57.77 
12/27/2019,$59.22 ,25481004,$59.95 ,$60.09 ,$58.95 
12/26/2019,$59.80 ,18321804,$59.69 ,$60.08 ,$59.50 
12/24/2019,$59.66 ,13886388,$59.55 ,$59.83 ,$59.21 
12/23/2019,$59.71 ,35539260,$60.13 ,$60.45 ,$59.60 
12/20/2019,$59.84 ,60338440,$59.53 ,$60.10 ,$59.34 
12/19/2019,$58.87 ,45310680,$57.73 ,$59 ,$57.68 
12/18/2019,$57.38 ,34427876,$57.42 ,$57.99 ,$57.34 
12/17/2019,$57.07 ,32326392,$56.48 ,$57.30 ,$56.38 
12/16/2019,$56.29 ,32130736,$56.48 ,$57.02 ,$56.19 
12/13/2019,$56.00 ,45496720,$56.05 ,$57.25 ,$55.46 
12/12/2019,$56.02 ,40608320,$54.05 ,$56.20 ,$53.96 
12/11/2019,$54.34 ,23400988,$53.60 ,$54.39 ,$53.58 
12/10/2019,$53.50 ,25668912,$53.35 ,$54.02 ,$52.82 
12/9/2019,$53.04 ,21513280,$52.81 ,$53.59 ,$52.73 
12/6/2019,$53.04 ,23241828,$52.88 ,$53.37 ,$52.78 
12/5/2019,$52.19 ,18513776,$52.58 ,$52.73 ,$51.88 
12/4/2019,$52.36 ,27361836,$52.76 ,$52.98 ,$52.07 
12/3/2019,$51.92 ,47414600,$50.47 ,$51.96 ,$50.09 
12/2/2019,$52.31 ,37386968,$54.12 ,$54.25 ,$52.16 
11/29/2019,$54.19 ,14155696,$54.25 ,$54.54 ,$53.95 
11/27/2019,$54.56 ,21642872,$54.67 ,$55.01 ,$54.30 
11/26/2019,$54.25 ,38568092,$55.13 ,$55.17 ,$54.19 
11/25/2019,$55.30 ,50734760,$54.01 ,$55.35 ,$53.88 
11/22/2019,$52.72 ,22409880,$52.77 ,$53.24 ,$52.49 
11/21/2019,$52.55 ,28838920,$52.75 ,$53.31 ,$52.33 
11/20/2019,$52.80 ,47301760,$51.77 ,$53.64 ,$51.64 
11/19/2019,$52.00 ,41538040,$52.76 ,$53.00 ,$51.41 
11/18/2019,$53.07 ,57531840,$50.97 ,$53.34 ,$50.94 
11/15/2019,$51.05 ,105421640,$52.43 ,$52.95 ,$50.16 
11/14/2019,$52.45 ,52700680,$52.23 ,$52.47 ,$51.63 
11/13/2019,$52.14 ,30236496,$52.09 ,$52.37 ,$51.48 
11/12/2019,$52.40 ,28383884,$52.43 ,$52.97 ,$52.08 
11/11/2019,$52.05 ,24378944,$51.94 ,$52.28 ,$51.07 
11/8/2019,$51.95 ,18940748,$51.92 ,$52.26 ,$51.54 
11/7/2019,$52.09 ,28033992,$52.78 ,$52.93 ,$51.64 
11/6/2019,$51.91 ,26901340,$52.16 ,$52.42 ,$51.03 
11/5/2019,$52.40 ,30086848,$52.62 ,$52.89 ,$51.92 
11/4/2019,$52.63 ,37671620,$51.46 ,$52.75 ,$51.23 
11/1/2019,$50.65 ,28363824,$49.90 ,$50.97 ,$49.65 
10/31/2019,$50.26 ,20973260,$50.54 ,$50.75 ,$49.45 
10/30/2019,$50.75 ,20596152,$51 ,$51.06 ,$50.07 
10/29/2019,$50.73 ,21123680,$51.56 ,$51.62 ,$50.54 
10/28/2019,$51.70 ,33079164,$51.58 ,$52.23 ,$51.28 
10/25/2019,$51.14 ,42309160,$50.03 ,$51.35 ,$49.95 
10/24/2019,$49.22 ,23903732,$49.19 ,$49.55 ,$48.85 
10/23/2019,$48.77 ,28577000,$48.08 ,$48.92 ,$47.76 
10/22/2019,$48.90 ,33736912,$49.58 ,$50.63 ,$48.83 
10/21/2019,$49.00 ,26696724,$48.24 ,$49.14 ,$48.05 
10/18/2019,$47.62 ,30762420,$48.58 ,$48.91 ,$46.88 
10/17/2019,$48.57 ,26431696,$49 ,$49.45 ,$48.03 
10/16/2019,$48.55 ,43275320,$48.75 ,$49.81 ,$48.44 
10/15/2019,$49.09 ,66798520,$47.54 ,$49.82 ,$47.40 
10/14/2019,$46.63 ,21033576,$46.41 ,$46.84 ,$46.10 
10/11/2019,$46.50 ,45086680,$46.60 ,$47.34 ,$46.41 
10/10/2019,$45.76 ,32751556,$45.16 ,$46.27 ,$45.10 
10/9/2019,$45.18 ,30788328,$45.08 ,$45.68 ,$44.79 
10/8/2019,$44.31 ,44934280,$45.16 ,$45.16 ,$44.13 
10/7/2019,$46.08 ,48831360,$46.15 ,$47.09 ,$46.06 
10/4/2019,$45.49 ,26796020,$45.35 ,$45.79 ,$44.70 
10/3/2019,$45.33 ,46273080,$43.31 ,$45.39 ,$43 
10/2/2019,$43.26 ,29566176,$43.28 ,$43.40 ,$42.53 
10/1/2019,$43.50 ,36756600,$43.75 ,$45.25 ,$43.45 
9/30/2019,$43.52 ,19319908,$43.20 ,$43.62 ,$42.89 
9/27/2019,$42.94 ,36595896,$43.92 ,$44.43 ,$42.33 
9/26/2019,$44.34 ,23782592,$44.46 ,$44.55 ,$43.82 
9/25/2019,$44.56 ,31310688,$43.13 ,$44.76 ,$42.68 
9/24/2019,$43.13 ,32124180,$44.03 ,$44.32 ,$42.78 
9/23/2019,$43.71 ,25582588,$43.18 ,$44.17 ,$43.14 
9/20/2019,$43.17 ,35725180,$44.23 ,$44.46 ,$43.07 
9/19/2019,$44.24 ,25634276,$45.06 ,$45.24 ,$44.13 
9/18/2019,$45.00 ,26403768,$45.20 ,$45.36 ,$44.13 
9/17/2019,$45.27 ,22847312,$45.12 ,$45.31 ,$44.65 
9/16/2019,$45.05 ,23183184,$44.73 ,$45.40 ,$44.63 
9/13/2019,$45.49 ,32459148,$45.40 ,$45.77 ,$45.05 
9/12/2019,$46.07 ,32784100,$46.55 ,$47.10 ,$45.99 
9/11/2019,$46.08 ,36151128,$45.94 ,$46.57 ,$45.65 
